name,position,team
Kyler Murray,QB,ARI
Trey Benson,RB,ARI
Marvin Harrison Jr.,WR1,ARI
Michael Wilson,WR2,ARI
Trey McBride,TE,ARI
Michael Penix Jr.,QB,ATL
Bijan Robinson,RB,ATL
Drake London,WR1,ATL
Darnell Mooney,WR2,ATL
Kyle Pitts,TE,ATL
Lamar Jackson,QB,BAL
Derrick Henry,RB,BAL
Zay Flowers,WR1,BAL
Rashod Bateman,WR2,BAL
Mark Andrews,TE,BAL
Josh Allen,QB,BUF
James Cook,RB,BUF
Khalil Shakir,WR1,BUF
Keon Coleman,WR2,BUF
Dalton Kincaid,TE,BUF
Bryce Young,QB,CAR
Rico Dowdle,RB,CAR
Tetairoa McMillan,WR1,CAR
Xavier Legette,WR2,CAR
Ja'Tavion Sanders,TE,CAR
Caleb Williams,QB,CHI
D'Andre Swift,RB,CHI
Rome Odunze,WR1,CHI
DJ Moore,WR2,CHI
Cole Kmet,TE,CHI
Joe Burrow,QB,CIN
Chase Brown,RB,CIN
Ja'Marr Chase,WR1,CIN
Tee Higgins,WR2,CIN
Mike Gesicki,TE,CIN
Shedeur Sanders,QB,CLE
Quinshon Judkins,RB,CLE
Jerry Jeudy,WR1,CLE
Cedric Tillman,WR2,CLE
David Njoku,TE,CLE
Dak Prescott,QB,DAL
Javonte Williams,RB,DAL
CeeDee Lamb,WR1,DAL
George Pickens,WR2,DAL
Jake Ferguson,TE,DAL
Bo Nix,QB,DEN
J.K. Dobbins,RB,DEN
Courtland Sutton,WR1,DEN
Troy Franklin,WR2,DEN
Evan Engram,TE,DEN
Jared Goff,QB,DET
Jahmyr Gibbs,RB,DET
Amon-Ra St. Brown,WR1,DET
Jameson Williams,WR2,DET
Sam LaPorta,TE,DET
Jordan Love,QB,GB
Josh Jacobs,RB,GB
Jayden Reed,WR1,GB
Romeo Doubs,WR2,GB
Tucker Kraft,TE,GB
C.J. Stroud,QB,HOU
Joe Mixon,RB,HOU
Nico Collins,WR1,HOU
Jayden Higgins,WR2,HOU
Dalton Schultz,TE,HOU
Daniel Jones,QB,IND
Jonathan Taylor,RB,IND
Michael Pittman,WR1,IND
Alec Pierce,WR2,IND
Tyler Warren,TE,IND
Trevor Lawrence,QB,JAX
Travis Etienne,RB,JAX
Brian Thomas Jr.,WR1,JAX
Parker Washington,WR2,JAX
Brenton Strange,TE,JAX
Patrick Mahomes,QB,KC
Isiah Pacheco,RB,KC
Rashee Rice,WR1,KC
Xavier Worthy,WR2,KC
Travis Kelce,TE,KC
Justin Herbert,QB,LAC
Omarion Hampton,RB,LAC
Kimani Vidal,RB,LAC
Ladd McConkey,WR1,LAC
Quentin Johnston,WR2,LAC
Oronde Gadsden II,TE,LAC
Matthew Stafford,QB,LA
Kyren Williams,RB,LA
Puka Nacua,WR1,LA
Davante Adams,WR2,LA
Tyler Higbee,TE,LA
Geno Smith,QB,LV
Ashton Jeanty,RB,LV
Tre Tucker,WR1,LV
Tyler Lockett,WR2,LV
Brock Bowers,TE,LV
Tua Tagovailoa,QB,MIA
De'Von Achane,RB,MIA
Jaylen Waddle,WR1,MIA
Malik Washington,WR2,MIA
Darren Waller,TE,MIA
J.J. McCarthy,QB,MIN
Aaron Jones,RB,MIN
Justin Jefferson,WR1,MIN
Jordan Addison,WR2,MIN
T.J. Hockenson,TE,MIN
Drake Maye,QB,NE
Rhamondre Stevenson,RB,NE
Stefon Diggs,WR1,NE
Kayshon Boutte,WR2,NE
Hunter Henry,TE,NE
Tyler Shough,QB,NO
Alvin Kamara,RB,NO
Chris Olave,WR1,NO
Devaughn Vele,WR2,NO
Juwan Johnson,TE,NO
Jaxson Dart,QB,NYG
Tyrone Tracy Jr.,RB,NYG
Wan'Dale Robinson,WR1,NYG
Darius Slayton,WR2,NYG
Theo Johnson,TE,NYG
Tyrod Taylor,QB,NYJ
Breece Hall,RB,NYJ
Garrett Wilson,WR1,NYJ
John Metchie III,WR2,NYJ
Mason Taylor,TE,NYJ
Jalen Hurts,QB,PHI
Saquon Barkley,RB,PHI
A.J. Brown,WR1,PHI
DeVonta Smith,WR2,PHI
Dallas Goedert,TE,PHI
Aaron Rodgers,QB,PIT
Jaylen Warren,RB,PIT
DK Metcalf,WR1,PIT
Calvin Austin III,WR2,PIT
Darnell Washington,TE,PIT
Brock Purdy,QB,SF
Christian McCaffrey,RB,SF
Brandon Aiyuk,WR1,SF
Ricky Pearsall,WR2,SF
George Kittle,TE,SF
Sam Darnold,QB,SEA
Kenneth Walker III,RB,SEA
Jaxon Smith-Njigba,WR1,SEA
Cooper Kupp,WR2,SEA
AJ Barner,TE,SEA
Baker Mayfield,QB,TB
Bucky Irving,RB,TB
Mike Evans,WR1,TB
Chris Godwin Jr.,WR2,TB
Cade Otton,TE,TB
Cam Ward,QB,TEN
Tony Pollard,RB,TEN
Elic Ayomanor,WR1,TEN
Chimere Dike,WR2,TEN
Chig Okonkwo,TE,TEN
Jayden Daniels,QB,WAS
Chris Rodriguez Jr.,RB,WAS
Terry McLaurin,WR1,WAS
Deebo Samuel Sr.,WR2,WAS
Zach Ertz,TE,WAS
